X,Y,OBJECTID,ATT_ID,PROGRAM_CO,PARTNER_CO,AT_CODE,Status_INPIIRoadsProjects_Line,Name_INPIIRoadsProject_Line,ACTIVITY_D,ACTIVITY_C,LOCATION_C,USAID_CONT,START_DATE,PLANNED_CO,ACTUAL_COM,TOTAL_COST,PERCENT_CO,MALE_BENEF,FEMALE_BEN,MALE_BEN_1,FEMALE_B_1,DATE_TIME_,INPUTTING_,DATE_TIME1,LAST_MODIF,LOCATION_N,GOV_NAME,WBG_CODE,LAST_ON_SI,PLANNED__1,PARTNER_RE,PERMANENT_,PERMANENT1,SubPartner,RECIPIENT,SLOT,Low_FY,High_FY,Number_of_,Temporary_,Temporary1,Male_Ben_2,Female_B_2,Male_Ben_3,Female_B_3,Male_Ben_4,Female_B_4,Temporar_1,Temporar_2,Male_Ben_5,Female_B_5,Male_Ben_6,Female_B_6,Male_Ben_7,Female_B_7,Program__1,Program__2,Total_Co_1,Other_Cont,Location_L,Coordinate,Xcoord,Ycoord,Certifying,Last_Date_,SO_Code,SO_Name,Office,Office_Nam,AT_NAME,AT_SHORT_N,SUBSECTOR_,SUBSECTOR1,SECTOR_COD,SECTOR_NAM,PARTNER_NA,Program_Na,Program_Ty,Program_St,PE_Code,PE_Name,Activity_1,Activity_2,Region_Cod,Region_Nam,PA_Code,PA_Name,Objective_,Objective1,Objectiv_1,Number_of1,Recipient_,Recipient1,Recipien_1,Subpartn_1
3910861.322,3742274.788,256807,27208,LCP_SAK,BV-SPC,A051,Constructed,Biddu Beit Anan Road,Biddu Beit Anan Road: This project was implemented under the High Impact Micro- Infrastructure Initiative (HIMII). The objective of this project is to upgrade a total of 3.523 km of the Biddu Beit Anan Road. The scope of work includes road reconstruction,,401995,1629898,10/23/13,7/1/14,7/1/14,1629898,100,8026,7712,8026,7712,7/2/15,LCPSAK1,12/8/15,LCPSAK1,Biddu,Jerusalem,WB,,7/1/14,,0,0,,,-1,FY14,FY14,1,226,5390,3792,3643,1267,1217,2967,2852,105,5400,3792,3643,1267,1217,2967,2852,NA,NA,1629898,0,Village,GPS,35.131865,31.839606,smassis,9/8/15,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Local Construction Program with Saka,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3925677.305,3791864.203,94008,24721,INPII_APCO,BV-SPC,A051,Constructed,Deir Sharaf - Tulkarem Road,Nablus Deir Sharaf - Tulkarem Road: Upgrade a total of 2.2 km of the Deir Sharaf - Inab Road that connects Nablus city with Highway 557. The road consists of 2.2 km two-lane regional road in the Governorate of Nablus. HIMII,,150920,2021282,12/3/13,8/20/14,8/19/14,3025365,100,0,0,0,0,1/19/14,INPIIU2,9/11/15,amasri,Nablus,Nablus,WB,6/17/14,7/30/14,HIMII TO 13-14,0,0,Shaltaf,,1,FY14,FY14,1,154,3668,0,0,0,0,0,0,260,6180,0,0,0,0,0,0,NA,NA,2021282,0,Village,Automatic,0,0,amasri,9/11/15,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,2,,,,Shaltaf General Contractors Company
3900573.064,3698580.735,94003,24717,INPII_APCO,BV-SPC,A051,Constructed,Dura-Hebron Sinjer Road,"Dura - Hebron (Sinjer) Road: 
 Construction of a total of 3,732.00 LM of Dura - Hebron (Sinjer) Road. 
 Construction of a total of 184.00 LM of Masarah Road.
 Construction of a total of 890.50 LM of Simple Access Roads.
 Milling Overlay of a total o",,502780,8057147,11/1/13,3/19/15,3/19/15,8243912,100,124909,120011,124909,120011,1/19/14,INPIIU2,3/7/16,Smassis,Hebron,Hebron,WB,4/13/15,10/31/14,HIMII TO 13-12,0,0,TGCGC,,-1,FY14,FY15,2,992,23604,59007,56693,19711,18938,46191,44380,885,21063,59007,56693,19711,18938,46191,44380,NA,NA,8057147,0,Village,GPS,35.039444,31.505556,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,4,,,,Technical Group Company for General Contracting
3928460.266,3759159.283,256805,27206,LCP_SKILLS,BV-SPC,A051,Constructed,Ein Yabroud-Deir Jareer,"Ein Yabroud - Deir Jareer Road. Upgrading a total of 1,242.00 LM. The road is a two lane main road that connects the town of Ein Yabroud to the town of Deir Jareer in the Governorate of Ramallah.",,301650,775416,5/27/14,12/14/14,12/14/14,773773,100,4310,4140,4310,4140,7/2/15,LCPSKLS1,12/8/15,LCPSKLS1,Deir Jarir,Ramallah & Al Bireh,WB,,12/14/14,,0,0,,,-1,FY14,FY15,2,99,2365,2036,1956,680,653,1594,1531,119,2844,2036,1956,680,653,1594,1531,NA,NA,775416,0,Village,GPS,35.289959,31.968369,kkasbary,8/31/15,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Local Construction Program with SKILLS,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3908427.322,3696027.647,257204,27209,LCP_SAK,BV-SPC,A051,Constructed,Hebron WWTP Access Road,"Construction of 1 km two lane access road to proposed Hebron WWTP, and rehabilitation of 1.1 km of existing paved road, in addition to construction of 2 km water pipelines and 0.6 km sewer pipes.",,502855,2549865,12/15/14,10/1/15,10/1/15,2326608,90,750,720,750,720,7/5/15,LCPSAK1,1/14/16,kkasbary,Qalqas,Hebron,WB,10/27/15,9/13/15,TO 15-00001,0,0,,,-1,FY15,FY16,2,305,7263,354,340,118,114,277,267,147,3500,354,340,118,114,277,267,NA,NA,2549865,0,Village,GPS,35.11,31.486,kkasbary,1/14/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Local Construction Program with Saka,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3924806.872,3783182.271,288808,27783,INPII_IRD,BV-SPC,A051,Constructed,Huwwara Nablus Main Road,"The project includes rehabilitating 3.2 kilometers of the road located in areas B&C that connects Nablus City and the northern West Bank to the central and southern West Bank, via Road 60 and Huwarah town. The SOW includes milling and overlay of the main",,151185,5243350,9/30/15,5/6/16,5/16/16,4758826,50,0,0,0,0,10/20/15,INP2IRD,4/10/16,INP2IRD,Huwwara,Nablus,WB,3/8/16,4/16/16,TO 15-00006,0,0,Brothers_CC,,-1,FY15,FY16,2,351,8345,0,0,0,0,0,0,254,6048,0,0,0,0,0,0,NA,NA,5243350,0,Village,GPS,35.25714,32.15126,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_IRD,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,Brothers Company for Contracting
3929578.025,3828595.888,36812,23622,INPII_IRD,BV-SPC,A051,Constructed,Jenin Al Jalameh Road (Phase II),Jenin Al Jalameh Road (Phase II): Upgrade a total of 1.88 km (Phase II) of the Jenin-Al Jalama Road which is a two lane local road located in the Governorate of Jenin that connects AI Jalama crossing point to Jenin City. Work also included the milling an,,CLU003,2860036,4/9/13,2/9/14,2/9/14,2751266,100,0,0,0,0,6/4/13,INPIIU2,5/28/14,amasri,Any Partner -  Jenin,Jenin,WB,10/3/13,12/4/13,,0,0,,,-1,FY13,FY14,2,327,7774,0,0,0,0,0,0,143,3382,0,0,0,0,0,0,NA,NA,2860036,0,Gov,GPS,35.3,32.496,amasri,5/28/14,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_IRD,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,4,,,,
3905087.737,3771714.557,36815,23625,INPII_IRD,BV-SPC,A051,Constructed,Kafr Al Dik-Dayr Ghassana Road,Kafr Al Deekk Deir Ghassaneh Road: Upgrade a total of 4.067 km of the Kafr Al Deek-Deir Ghassaneh Road. The road is a two-lane main road that links the town of Kafr Al-Deek in Salfeet Governorate with the community of Deir Ghassaneh in Ramallah Governora,,251425,2823022,4/9/13,2/5/14,2/5/14,3124686,100,4766,4622,4766,4622,6/4/13,INPIIU2,12/8/15,INP2IRD,Kafr ad Dik,Salfit District,WB,2/10/14,12/4/13,,0,0,TGCGC,,-1,FY13,FY14,2,312,7424,2252,2184,752,729,1763,1708,303,7200,2252,2184,752,729,1763,1708,NA,NA,2823022,0,Village,GPS,35.08,32.064,amasri,5/28/14,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_IRD,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,4,,,,Technical Group Company for General Contracting
3913736.816,3811892.989,36816,23626,INPII_IRD,BV-SPC,A051,Constructed,Kafr Rai Al Rama Ajja HWY60 Road,Kafr Rai Al Rama Ajja HWY60 Road: Upgrade a total of 6.071 km of the Kafr Rai AI Rama Ajja HWY60 Road. The road is a two-lane main road that links the town of Kafr Al Rai with the community of AI Rama and Ajja and connects to Road 60 in the Governorate o,,10465,3086565,4/9/13,2/9/14,2/9/14,2447242,100,8174,7953,8174,7953,6/4/13,INPIIU2,12/8/15,INP2IRD,Kafr Ra'i,Jenin,WB,10/3/13,12/4/13,,0,0,Brothers_CC,,-1,FY13,FY14,2,326,7780,3861,3757,1290,1255,3023,2941,101,2420,3861,3757,1290,1255,3023,2941,NA,NA,3086565,0,Village,GPS,35.157696,32.369359,amasri,5/28/14,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_IRD,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,5,,,,Brothers Company for Contracting
3905061.354,3756224.767,93206,24708,INPII_APCO,BV-SPC,A051,Constructed,Kharbatha Bani Hareth-Ein Ayoub Road,"Kharbatha Bani Hareth-Ein Ayoub Road: Reconstructing atotal of 1,858 LM in addition to 295 LM milling and overlay work.The road is a two-lane local road that connects the town of Kharbatha Bani Hareth with the community of Ein Ayoub in the Governorate of",,301725,1400873,11/6/13,8/11/14,8/11/14,1645938,100,2954,2838,2954,2838,1/15/14,INPIIU2,12/8/15,INP2APCO,Kharbatha Bani Harith,Ramallah & Al Bireh,WB,6/24/14,7/3/14,HIMII TO 13-11,0,0,Shaltaf,,-1,FY14,FY14,1,191,4550,1395,1341,466,448,1092,1050,181,4318,1395,1341,466,448,1092,1050,NA,NA,1400873,0,Village,GPS,35.079763,31.946003,amasri,9/11/15,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,2,,,,Shaltaf General Contractors Company
3930486.503,3761810.093,256804,27205,LCP_SKILLS,BV-SPC,A051,Constructed,Kufur Malek Western Ent Road Seg B &Deir JareerKufr Malek A,"Deir Jareer - Kufur Malek Road (Segment A) and Kufur Malik Western Entrance Road (Segment B). Upgrading a total of 1,622.42 LM :                       - Upgrading a total of 485.17 LM of Deir Jareer - Kufr Malik Road (Segment A)",,301590,1089708,5/27/14,2/3/15,2/3/15,1075906,100,1719,1652,1719,1652,7/2/15,LCPSKLS1,12/8/15,LCPSKLS1,Kafr Malik,Ramallah & Al Bireh,WB,,2/3/15,,0,0,,,-1,FY14,FY15,2,194,4608,812,780,271,261,636,611,189,4488,812,780,271,261,636,611,NA,NA,1089708,0,Village,GPS,35.308161,31.988568,kkasbary,8/31/15,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Local Construction Program with SKILLS,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3906946.661,3701384.186,36811,23621,INPII_APCO,BV-SPC,A051,Constructed,Milling & Overlay of Hebron Internal Road,Milling and Overlay of Hebron Internal Roads: Upgrade approximately 17.7 Km of Hebron Internal Roads. The internal roads are located within the vicinity of the city of Hebron within the Governorate of Hebron. Road works is sited in Area A. The work also,,502780,4837556,4/15/13,3/30/14,3/30/14,4463760,100,103108,99064,103108,99064,6/4/13,INPIIU2,3/7/16,Smassis,Hebron,Hebron,WB,3/31/14,11/10/13,TO 13-00004,0,0,TARIFI,,-1,FY13,FY14,2,333,7915,48708,46798,16270,15632,38129,36635,635,15094,48708,46798,16270,15632,38129,36635,NA,NA,4837556,0,Village,GPS,35.096699,31.527025,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,4,,,,TARIFI Contracting
3918477.023,3725812.43,94005,24719,INPII_APCO,BV-SPC,A051,Constructed,Milling and Overlay of Bethlehem Internal Roads,Milling and Overlay of Bethlehem Internal Roads: This project was implemented under the High Impact Micro-Infrastructure Initiative (HIMII). The objective of this project is to upgrade ten internal roads in Bethlehem city with a total length of 4 kilomet,,452240,1285822,11/1/13,5/6/14,5/6/14,1274521,100,15390,14786,15390,14786,1/19/14,INPIIU2,3/7/16,Smassis,Bethlehem,Bethlehem,WB,5/5/14,4/29/14,HIMII TO 13-12,0,0,TARIFI,,-1,FY14,FY14,1,162,3856,7270,6985,2429,2333,5691,5468,118,2809,7270,6985,2429,2333,5691,5468,NA,NA,1285822,0,Village,GPS,35.200278,31.713889,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,5,,,,TARIFI Contracting
3929320.432,3824045.672,256806,27207,LCP_SKILLS,BV-SPC,A051,Constructed,Milling and Overlay of Jenin Internal Roads,"Milling and Overlay of Jenin Internal Roads: Milling and Overlay a total of 2.59 km of Jenin internal roads, which includes Abu Bakir Road, Nablus Road, Boor Saeed Road and Jenin Eastern Neighborhood Road. The internal roads are located within the vicini",,10180,460695,11/13/13,4/2/14,3/30/14,460695,100,23818,23182,23818,23182,7/2/15,LCPSKLS1,12/8/15,LCPSKLS1,Jenin,Jenin,WB,,4/2/14,,0,0,,,-1,FY14,FY14,1,70,1673,11252,10951,3759,3658,8808,8572,77,1826,11252,10951,3759,3658,8808,8572,NA,NA,460695,0,Village,GPS,35.297686,32.461518,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Local Construction Program with SKILLS,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3922787.536,3814613.767,36814,23624,INPII_IRD,BV-SPC,A051,Constructed,Mirka-Al Jarba Road,Mirka Al Jarba Road: Upgrade a total of 2.2 km of the Mirka-Al Jarba Road. The road is a two-lane local road that links the town of Mirka with the community of AI Jarba in the Governorate of .lenin. Roadwork is sited in Area A.,,10395,1126040,4/9/13,11/2/13,11/2/13,1193046,100,1034,983,1034,983,6/4/13,INPIIU2,12/8/15,INP2IRD,Mirka,Jenin,WB,10/3/13,10/5/13,,0,0,Al Amjad,,-1,FY13,FY14,2,151,3587,488,465,163,155,382,364,111,2624,488,465,163,155,382,364,NA,NA,1126040,0,Village,GPS,35.239,32.39,amasri,5/28/14,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_IRD,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,5,,,,Al Amjad Al Arabia for Contracting and General Construction
